,price.open,price.high,price.low,price.close,volume,price.adjusted,oil price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
112,25.68,26.41,25.35,25.809999,1506900,25.809999,58.82,3/26/2019,CRC,0.05389951,0.05389951,-0.065009753,D
113,25.809999,26.232,24.76,25.34,1454800,25.34,59.94,3/27/2019,CRC,-0.018209958,-0.018209958,0.481706815,U
114,24.35,25.84,24.27,25.76,1498300,25.76,59.41,3/28/2019,CRC,0.016574586,0.016574586,1.65541708,U
115,26.610001,27.200001,25.58,25.709999,2114300,25.709999,59.3,3/29/2019,CRC,-0.001941033,-0.001941033,1.900001298,U
116,26.389999,27.280001,26.08,27.059999,1733800,27.059999,60.14,4/1/2019,CRC,0.052508754,0.052508754,-0.333001973,D
117,27.370001,27.98,26.799999,27.23,1811900,27.23,61.59,4/2/2019,CRC,0.006282373,0.006282373,0.331207062,U
118,27.370001,27.65,26.559999,26.790001,1947800,26.790001,62.58,4/3/2019,CRC,-0.016158612,-0.016158612,3.130225769,U
119,27.01,27.559999,26.42,27.5,1142000,27.5,62.46,4/4/2019,CRC,0.026502388,0.026502388,2.1786986,U
120,27.77,29.41,27.716,29.41,2818800,29.41,62.1,4/5/2019,CRC,0.069454545,0.069454545,-1.181600348,D
121,29.74,30.18,28.440001,29.379999,2988400,29.379999,63.08,4/8/2019,CRC,-0.001020095,-0.001020095,0,N
122,28.959999,29,28.280001,28.379999,1400300,28.379999,64.4,4/9/2019,CRC,-0.034036761,-0.034036761,0.335532809,U
123,28.65,29.66,28.57,29.379999,1447300,29.379999,63.98,4/10/2019,CRC,0.035236083,0.035236083,-1.098518745,D
124,29.030001,29.34,28.299999,28.67,1285600,28.67,64.61,4/11/2019,CRC,-0.024166066,-0.024166066,-1.311128057,D
125,29.040001,29.1,27.27,28.43,2495600,28.43,63.58,4/12/2019,CRC,-0.00837112,-0.00837112,-0.130470883,D
126,28,28.4,27.280001,27.559999,2130500,27.559999,63.89,4/15/2019,CRC,-0.030601512,-0.030601512,-0.421230002,D
127,27.76,28.52,27.15,28.32,1375300,28.32,63.4,4/16/2019,CRC,0.027576235,0.027576235,-1.883353607,D
128,28.68,28.764999,27.15,27.209999,1707500,27.209999,64.078,4/17/2019,CRC,-0.039194951,-0.039194951,1.360710744,U
129,27.15,27.280001,26.440001,26.77,1699600,26.77,63.804,4/18/2019,CRC,-0.016170489,-0.016170489,1.051485389,U
130,28.059999,29.105,27.747999,28.33,2321100,28.33,64.042,4/22/2019,CRC,0.058274188,0.058274188,-2.4924,D
131,28.440001,28.860001,27.549999,27.639999,1481700,27.639999,65.58,4/23/2019,CRC,-0.024355842,-0.024355842,-7.259334465,D
132,27.75,27.809999,26.059999,26.280001,2255900,26.280001,66.3,4/24/2019,CRC,-0.049203982,-0.049203982,-6.716205867,D
133,26.299999,26.415001,21.67,22.120001,8745000,22.120001,65.89,4/25/2019,CRC,-0.158295276,-0.158295276,-1.652512741,D
134,21.940001,22.18,20.52,21.58,4452600,21.58,65.21,4/26/2019,CRC,-0.024412341,-0.024412341,-0.784806165,D
135,21.35,21.530001,20.66,21.049999,2688800,21.049999,63.3,4/29/2019,CRC,-0.024559824,-0.024559824,-2.415302396,D
136,21.549999,21.700001,20.75,21.08,2694100,21.08,63.5,4/30/2019,CRC,0.001425226,0.001425226,-3.975743058,D
137,20.82,21,19.540001,19.559999,2885500,19.559999,63.91,5/1/2019,CRC,-0.072106309,-0.072106309,0.53310749,U
138,18.99,19.77,18.41,18.719999,3944200,18.719999,63.6,5/2/2019,CRC,-0.042944787,-0.042944787,3.890662353,U
139,20.41,20.92,19.280001,19.870001,3913200,19.870001,61.81,5/3/2019,CRC,0.061431734,0.061431734,0.262553318,U
140,19.290001,21.129999,19.1,21.040001,3211800,21.040001,61.94,5/6/2019,CRC,0.058882735,0.058882735,-1.074047175,D
141,20.42,20.73,19.76,20.030001,1868200,20.030001,62.25,5/7/2019,CRC,-0.0480038,-0.0480038,-0.049662308,N
142,19.99,21.139999,19.83,20.379999,1774400,20.379999,61.4,5/8/2019,CRC,0.017473689,0.017473689,-0.479575004,D
